cidade;estado;populacao;idh;num familias bolsa famila
alto feliz;rio grande do sul;3067;0.734;13
alto garcas;mato grosso;9550;0.701;937
alto horizonte;goias;3392;0.719;445
alto jequitiba;minas gerais;8122;0.66;689
alto longa;piaui;14147;0.585;2575
alto paraguai;mato grosso;8329;0.638;778
alto paraiso;rondonia;17569;0.625;1129
alto paraiso;parana;3217;0.678;211
alto paraiso de goias;goias;6982;0.713;496
alto parana;parana;13435;0.696;809
alto parnaiba;maranhao;10640;0.633;1225
alto piquiri;parana;10406;0.676;574
alto rio doce;minas gerais;12778;0.62;1609
alto rio novo;espirito santo;6172;0.664;836
alto santo;ceara;20829;0.601;2108
alto taquari;mato grosso;6505;0.705;511
altonia;parana;20764;0.721;485
altos;piaui;39735;0.614;4376
aluminio;sao paulo;16427;0.766;604
alvaraes;amazonas;13566;0.527;2506
alvarenga;minas gerais;4545;0.592;656
alvares florence;sao paulo;3876;0.728;110
alvares machado;sao paulo;23779;0.758;1409
alvaro de carvalho;sao paulo;4984;0.688;237
alvinlandia;sao paulo;2869;0.722;190
alvinopolis;minas gerais;15678;0.676;1248
alvorada;tocantins;8161;0.708;674
alvorada;rio grande do sul;213894;0.699;6915
alvorada d'oeste;rondonia;17127;0.643;1416
alvorada de minas;minas gerais;3588;0.572;544
alvorada do gurgueia;piaui;5209;0.578;933
alvorada do norte;goias;8666;0.66;788
alvorada do sul;parana;9255;0.708;463
amajari;roraima;8249;0.484;1281
amambai;mato grosso do sul;34986;0.673;3006
amapa;amapa;7802;0.642;1789
amapa do maranhao;maranhao;6451;0.52;1310
amapora;parana;5447;0.669;490
amaraji;pernambuco;20509;0.58;3459
amaral ferrador;rio grande do sul;6602;0.624;487
amaralina;goias;3719;0.609;530
amarante;piaui;17892;0.598;3181
amarante do maranhao;maranhao;37388;0.555;4761
amargosa;bahia;35278;0.625;5261
amatura;amazonas;8828;0.56;1531
amelia rodrigues;bahia;24491;0.666;3270
america dourada;bahia;16787;0.561;2916
americana;sao paulo;205229;0.811;3752
americano do brasil;goias;4795;0.7;268
americo brasiliense;sao paulo;33255;0.751;549
americo de campos;sao paulo;5488;0.745;317
ametista do sul;rio grande do sul;8538;0.682;433
amontada;ceara;40198;0.606;6824
amorinopolis;goias;3484;0.681;358
amparo;sao paulo;65928;0.606;466
amparo;paraiba;2078;0.785;1061
amparo de sao francisco;sergipe;2268;0.611;395
amparo do serra;minas gerais;5362;0.641;556
ampere;parana;18041;0.709;418
anadia;alagoas;17740;0.568;2755
anage;bahia;25262;0.54;4616
anahy;parana;2926;0.695;75
anajas;para;27386;0.484;5170
anajatuba;maranhao;25063;0.581;6085
analandia;sao paulo;4558;0.754;191
anama;amazonas;8673;0.594;1869
ananas;tocantins;9514;0.671;1376
ananindeua;para;505512;0.718;35614
anapolis;goias;335960;0.737;9895
anapu;para;20421;0.548;4954
anapurus;maranhao;13257;0.581;3428
anastacio;mato grosso do sul;23047;0.663;1587
anaurilandia;mato grosso do sul;8697;0.67;421
anchieta;santa catarina;6683;0.73;1545
anchieta;espirito santo;20226;0.699;132
andarai;bahia;14609;0.555;2829
andira;parana;21964;0.725;954
andorinha;bahia;14201;0.588;2654
andradas;minas gerais;36633;0.734;692
andradina;sao paulo;56593;0.779;1853
andre da rocha;rio grande do sul;1276;0.72;47
andrelandia;minas gerais;12369;0.7;1166
angatuba;sao paulo;23225;0.719;938
angelandia;minas gerais;8571;0.597;1099
angelica;mato grosso do sul;7465;0.697;827
angelim;pernambuco;10385;0.572;2146
angelina;santa catarina;5396;0.687;97
angical;bahia;15191;0.625;2930
angical do piaui;piaui;6793;0.63;1639
angico;tocantins;3300;0.648;281
angicos;rio grande do norte;11525;0.624;1755
angra dos reis;rio de janeiro;168664;0.724;9299
anguera;bahia;9826;0.589;1619
angulo;parana;2893;0.721;163
anhanguera;goias;1018;0.725;42
anhembi;sao paulo;5766;0.721;434
anhumas;sao paulo;3947;0.741;209
anicuns;goias;18027;0.714;1698
anisio de abreu;piaui;8552;0.594;1713
anita garibaldi;santa catarina;9191;0.688;727
anitapolis;santa catarina;3267;0.674;129
anori;amazonas;14688;0.561;2983
anta gorda;rio grande do sul;6326;0.74;27
antas;bahia;17583;0.592;2264
antonina;parana;17743;0.687;1108
antonina do norte;ceara;7059;0.599;1824
antonio almeida;piaui;3267;0.62;498
antonio cardoso;bahia;12589;0.561;2259
antonio carlos;minas gerais;11624;0.683;620
antonio carlos;santa catarina;7466;0.749;118
antonio dias;minas gerais;9598;0.645;753
antonio goncalves;bahia;11240;0.598;1899
antonio joao;mato grosso do sul;8734;0.643;696
antonio martins;rio grande do norte;7245;0.578;1408
antonio olinto;parana;7750;0.656;577
antonio prado;rio grande do sul;14274;0.758;225
antonio prado de minas;minas gerais;2070;0.684;122
aparecida;sao paulo;37629;0.578;1220
aparecida;paraiba;7607;0.755;808
aparecida d'oeste;sao paulo;4598;0.721;278
aparecida de goiania;goias;510770;0.718;11001
aparecida do rio doce;goias;2871;0.693;158
aparecida do rio negro;tocantins;4200;0.651;392
aparecida do taboado;mato grosso do sul;20623;0.697;1380
aperibe;rio de janeiro;9556;0.692;606
apiaca;espirito santo;7883;0.673;911
apiacas;mato grosso;8381;0.675;349
apiai;sao paulo;25700;0.71;2173
apicum-acu;maranhao;13890;0.568;3933
apiuna;santa catarina;10996;0.708;131
apodi;rio grande do norte;35768;0.639;5421
apora;bahia;18738;0.548;2941
apore;goias;3708;0.693;250
apuarema;bahia;7610;0.552;1464
apucarana;parana;121290;0.748;2932
apui;amazonas;18597;0.637;1639
apuiares;ceara;14414;0.618;2623
aquidaba;sergipe;19890;0.578;2844
aquidauana;mato grosso do sul;46515;0.688;1878
aquiraz;ceara;71400;0.641;10699
arabuta;santa catarina;4048;0.733;27
aracagi;paraiba;17839;0.549;3282
aracai;minas gerais;2524;0.695;169
aracaju;sergipe;544039;0.77;31597
aracariguama;sao paulo;13208;0.704;1021
aracas;bahia;12209;0.57;2374
aracati;ceara;69616;0.655;6651
aracatu;bahia;14316;0.581;2520
aracatuba;sao paulo;182204;0.788;5123
araci;bahia;54713;0.534;9261
aracitaba;minas gerais;1885;0.661;154
aracoiaba;ceara;25351;0.615;4634
aracoiaba;pernambuco;17484;0.592;3769
aracoiaba da serra;sao paulo;26626;0.776;1007
aracruz;espirito santo;78658;0.752;3208
aracu;goias;3946;0.693;286
aracuai;minas gerais;37388;0.663;3524
aragarcas;goias;17883;0.732;2455
aragoiania;goias;7702;0.684;930
aragominas;tocantins;5555;0.593;585
araguacema;tocantins;5591;0.639;461
araguacu;tocantins;9225;0.675;438
araguaiana;mato grosso;2996;0.687;239
araguaina;tocantins;119637;0.752;8267
araguainha;mato grosso;1115;0.701;94
araguana;tocantins;5248;0.604;773
