cidade;estado;populacao;idh;num familias bolsa famila
claro dos pocoes;minas gerais;8389;0.67;1123
claudia;mato grosso;11148;0.699;384
claudio;minas gerais;25938;0.709;764
clementina;sao paulo;6582;0.725;282
clevelandia;parana;17995;0.694;822
coaraci;bahia;22274;0.613;4013
coari;amazonas;66991;0.586;10918
cocal;piaui;27220;0.497;4946
cocal de telha;piaui;4689;0.555;1048
cocal do sul;santa catarina;15229;0.78;208
cocal dos alves;piaui;5525;0.498;1125
cocalinho;mato grosso;6103;0.66;290
cocalzinho de goias;goias;15296;0.657;2524
cocos;bahia;17923;0.596;3308
codajas;amazonas;16291;0.563;3486
codo;maranhao;113937;0.595;15413
coelho neto;maranhao;45624;0.564;7056
coimbra;minas gerais;7209;0.669;608
coite do noia;alagoas;11127;0.533;1635
coivaras;piaui;3955;0.565;764
colares;para;11433;0.602;1758
colatina;espirito santo;111365;0.746;3461
colider;mato grosso;32096;0.713;1125
colina;sao paulo;17745;0.757;710
colinas;rio grande do sul;2470;0.596;6998
colinas;maranhao;36787;0.765;22
colinas do sul;goias;4026;0.658;468
colinas do tocantins;tocantins;30666;0.701;1978
colmeia;tocantins;8961;0.671;840
colniza;mato grosso;31597;0.611;2239
colombia;sao paulo;6345;0.71;474
colombo;parana;247268;0.733;8594
colonia do gurgueia;piaui;5947;0.628;1398
colonia do piaui;piaui;7940;0.588;1455
colonia leopoldina;alagoas;20181;0.517;4114
colorado;rio grande do sul;3771;0.73;354
colorado;parana;21789;0.758;55
colorado do oeste;rondonia;17822;0.685;394
coluna;minas gerais;9570;0.583;1135
combinado;tocantins;5070;0.697;578
comendador gomes;minas gerais;3252;0.697;276
comendador levy gasparian;rio de janeiro;8839;0.685;443
comercinho;minas gerais;8637;0.593;1375
comodoro;mato grosso;18974;0.689;1074
conceicao;paraiba;17988;0.592;3239
conceicao da aparecida;minas gerais;10771;0.691;532
conceicao da barra;espirito santo;27059;0.681;2206
conceicao da barra de minas;minas gerais;4077;0.685;333
conceicao da feira;bahia;20117;0.634;3255
conceicao das alagoas;minas gerais;21938;0.712;974
conceicao das pedras;minas gerais;2821;0.668;197
conceicao de ipanema;minas gerais;4549;0.676;588
conceicao de macabu;rio de janeiro;20687;0.712;1851
conceicao do almeida;bahia;17974;0.606;3187
conceicao do araguaia;para;47237;0.64;3714
conceicao do caninde;piaui;5077;0.589;1058
conceicao do castelo;espirito santo;11851;0.67;672
conceicao do coite;bahia;62893;0.611;10340
conceicao do jacuipe;bahia;28769;0.663;4278
conceicao do lago-acu;maranhao;14909;0.512;3056
conceicao do mato dentro;minas gerais;18534;0.634;2104
conceicao do para;minas gerais;4866;0.7;247
conceicao do rio verde;minas gerais;13244;0.665;773
conceicao do tocantins;tocantins;4541;0.592;477
conceicao dos ouros;minas gerais;10869;0.703;378
conchal;sao paulo;24485;0.708;1618
conchas;sao paulo;16274;0.736;721
concordia;santa catarina;70393;0.8;826
concordia do para;para;22251;0.566;4881
condado;paraiba;6925;0.594;1233
condado;pernambuco;24403;0.602;2906
conde;bahia;23166;0.618;4983
conde;paraiba;20849;0.56;4081
condeuba;bahia;17210;0.582;2625
condor;rio grande do sul;6873;0.747;334
conego marinho;minas gerais;6440;0.621;1369
confins;minas gerais;6072;0.747;238
confresa;mato grosso;22606;0.668;2064
congo;paraiba;4930;0.581;940
congonhal;minas gerais;10261;0.712;502
congonhas;minas gerais;48723;0.753;1369
congonhas do norte;minas gerais;5335;0.568;514
congonhinhas;parana;9035;0.668;622
conquista;minas gerais;6922;0.729;355
conquista d'oeste;mato grosso;3289;0.718;180
conselheiro lafaiete;minas gerais;114579;0.761;1920
conselheiro mairinck;parana;3700;0.707;243
conselheiro pena;minas gerais;22539;0.662;1844
consolacao;minas gerais;1750;0.673;166
constantina;rio grande do sul;10191;0.754;393
contagem;minas gerais;625393;0.756;24319
contenda;parana;15728;0.681;463
contendas do sincora;bahia;3886;0.577;768
coqueiral;minas gerais;9747;0.694;670
coqueiro baixo;rio grande do sul;1610;0.692;7
coqueiro seco;alagoas;5525;0.586;766
coqueiros do sul;rio grande do sul;3342;0.746;69
coracao de jesus;minas gerais;27110;0.642;3883
coracao de maria;bahia;23774;0.592;6067
corbelia;parana;15850;0.738;401
cordeiro;rio de janeiro;19902;0.729;856
cordeiropolis;sao paulo;20720;0.758;639
cordeiros;bahia;8883;0.579;1157
cordilheira alta;santa catarina;3531;0.747;46
cordisburgo;minas gerais;9465;0.656;747
cordislandia;minas gerais;3743;0.66;365
coreau;ceara;22215;0.61;3941
coremas;paraiba;15709;0.592;2846
corguinho;mato grosso do sul;4370;0.671;323
coribe;bahia;14895;0.6;3015
corinto;minas gerais;23048;0.68;1976
cornelio procopio;parana;48544;0.759;948
coroaci;minas gerais;11131;0.626;971
coroados;sao paulo;5250;0.719;276
coroata;maranhao;63081;0.576;10503
coromandel;minas gerais;28296;0.708;1311
coronel barros;rio grande do sul;2522;0.744;67
coronel bicaco;rio grande do sul;7971;0.665;933
coronel domingos soares;parana;7864;0.6;511
coronel ezequiel;rio grande do norte;5399;0.587;1087
coronel fabriciano;minas gerais;105037;0.755;5292
coronel freitas;santa catarina;10520;0.744;208
coronel joao pessoa;rio grande do norte;4993;0.578;701
coronel joao sa;bahia;18408;0.535;4181
coronel jose dias;piaui;4484;0.546;1027
coronel macedo;sao paulo;5343;0.69;295
coronel martins;santa catarina;2583;0.696;80
coronel murta;minas gerais;9423;0.627;1192
coronel pacheco;minas gerais;2427;0.669;285
coronel pilar;rio grande do sul;1645;0.727;6
coronel sapucaia;mato grosso do sul;14569;0.589;1819
coronel vivida;parana;21830;0.723;620
coronel xavier chaves;minas gerais;3303;0.677;122
corrego danta;minas gerais;3475;0.692;85
corrego do bom jesus;minas gerais;3824;0.692;188
corrego do ouro;goias;2632;0.686;179
corrego fundo;minas gerais;5939;0.678;70
corrego novo;minas gerais;3138;0.632;316
correia pinto;santa catarina;14842;0.702;799
corrente;piaui;25406;0.642;3529
correntes;pernambuco;16686;0.536;3617
correntina;bahia;32980;0.603;5156
cortes;pernambuco;11712;0.568;2445
corumba;mato grosso do sul;99467;0.7;6079
corumba de goias;goias;9372;0.68;1125
corumbaiba;goias;8624;0.698;337
corumbatai;sao paulo;4138;0.754;154
corumbatai do sul;parana;4220;0.638;312
corumbiara;rondonia;9680;0.613;453
corupa;santa catarina;13380;0.78;188
coruripe;alagoas;53369;0.626;5410
cosmopolis;sao paulo;59297;0.769;1667
cosmorama;sao paulo;7033;0.722;342
costa marques;rondonia;14452;0.611;1669
costa rica;mato grosso do sul;19228;0.706;1474
cotegipe;bahia;14191;0.59;2465
cotia;sao paulo;182045;0.78;4448
cotipora;rio grande do sul;4887;0.741;20
cotriguacu;mato grosso;14965;0.601;547
couto de magalhaes de minas;minas gerais;4560;0.659;397
couto magalhaes;tocantins;5102;0.605;675
coxilha;rio grande do sul;2997;0.706;94
coxim;mato grosso do sul;32933;0.703;2269
coxixola;paraiba;1770;0.641;371
craibas;alagoas;23294;0.525;4088
crateus;ceara;75249;0.644;8163
crato;ceara;116759;0.713;13647
cravinhos;sao paulo;30849;0.756;1381
cravolandia;bahia;5713;0.599;911
criciuma;santa catarina;188557;0.788;3143
crisolita;minas gerais;5941;0.585;872
crisopolis;bahia;20279;0.543;3964
crissiumal;rio grande do sul;15096;0.712;342
cristais;minas gerais;11269;0.692;504
cristais paulista;sao paulo;7436;0.734;305
cristal;rio grande do sul;7393;0.644;406
cristal do sul;rio grande do sul;3099;0.66;304
cristalandia;tocantins;6628;0.673;805
cristalandia do piaui;piaui;8177;0.573;1285
cristalia;minas gerais;5961;0.583;1498
cristalina;goias;38504;0.699;3862
cristiano otoni;minas gerais;5039;0.695;261
cristianopolis;goias;3174;0.688;245
cristina;minas gerais;11478;0.668;444
cristinapolis;sergipe;16131;0.553;3640
cristino castro;piaui;9836;0.566;1826
cristopolis;bahia;14279;0.614;2232
crixas;goias;15005;0.708;988
crixas do tocantins;tocantins;1289;0.644;97
croata;ceara;18246;0.59;3160
crominia;goias;3729;0.706;363
crucilandia;minas gerais;4776;0.651;339
cruz;ceara;23540;0.632;3665
cruz alta;rio grande do sul;64438;0.75;1514
cruz das almas;bahia;57098;0.699;5485
cruz do espirito santo;paraiba;15854;0.552;3416
cruz machado;parana;19132;0.664;930
cruzalia;sao paulo;2356;0.774;92
cruzaltense;rio grande do sul;2266;0.719;29
cruzeiro;sao paulo;79957;0.788;2714
cruzeiro da fortaleza;minas gerais;3897;0.696;332
cruzeiro do iguacu;parana;4225;0.709;190
cruzeiro do oeste;parana;20856;0.717;487
cruzeiro do sul;rio grande do sul;12752;0.664;10682
cruzeiro do sul;acre;77004;0.713;297
cruzeiro do sul;parana;4574;0.723;232
cruzeta;rio grande do norte;8029;0.654;976
cruzilia;minas gerais;15373;0.695;1227
cruzmaltina;parana;3128;0.666;257
cubatao;sao paulo;129582;0.737;5968
cubati;paraiba;6546;0.566;1386
cuiaba;mato grosso;550562;0.785;20450
cuite;paraiba;20834;0.591;3841
cuite de mamanguape;paraiba;6737;0.524;1607
cuitegi;paraiba;7243;0.57;1100
cujubim;rondonia;14889;0.612;1261
cumari;goias;3145;0.737;88
cumaru;pernambuco;13812;0.572;3802
cumaru do norte;para;11890;0.55;1365
cumbe;sergipe;3870;0.604;773
cunha;sao paulo;23735;0.684;1649
cunha pora;santa catarina;11079;0.742;156
cunhatai;santa catarina;1948;0.754;10
cuparaque;minas gerais;4561;0.627;442
cupira;pernambuco;22783;0.592;3528
curaca;bahia;34421;0.581;6229
curimata;piaui;10765;0.607;1818
curionopolis;para;17944;0.636;3109
curitiba;parana;1851215;0.823;31071
curitibanos;santa catarina;39045;0.721;1468
curiuva;parana;15217;0.656;1095
currais;piaui;4710;0.542;1002
currais novos;rio grande do norte;43536;0.691;4393
curral de cima;paraiba;5648;0.529;1299
curral de dentro;minas gerais;7376;0.585;1442
curral novo do piaui;piaui;5119;0.527;1009
curral velho;paraiba;2886;0.606;419
curralinho;para;27543;0.502;5253
curralinhos;piaui;4242;0.555;842
curua;para;12984;0.578;2231
curuca;para;36748;0.582;8473
cururupu;maranhao;35108;0.612;6873
curvelandia;mato grosso;5039;0.69;335
curvelo;minas gerais;75051;0.713;3983
custodia;pernambuco;33874;0.594;6645
cutias;amapa;4652;0.628;840
damianopolis;goias;3678;0.654;561
damiao;paraiba;4998;0.521;976
damolandia;goias;2809;0.697;283
darcinopolis;tocantins;5388;0.581;522
dario meira;bahia;12331;0.54;2136
datas;minas gerais;5696;0.616;594
david canabarro;rio grande do sul;4857;0.762;38
davinopolis;maranhao;12091;0.607;1614
davinopolis;goias;2075;0.716;120
delfim moreira;minas gerais;8047;0.669;423
delfinopolis;minas gerais;6954;0.74;257
delmiro gouveia;alagoas;48462;0.612;6425
delta;minas gerais;7210;0.639;829
demerval lobao;piaui;13232;0.618;2743
denise;mato grosso;11142;0.683;509
deodapolis;mato grosso do sul;11600;0.694;591
deputado irapuan pinheiro;ceara;9615;0.609;1478
derrubadas;rio grande do sul;3391;0.707;135
descalvado;sao paulo;30867;0.76;718
descanso;santa catarina;8898;0.743;109
descoberto;minas gerais;5126;0.68;307
desterro;paraiba;8191;0.58;1882
desterro de entre rios;minas gerais;7173;0.639;336
desterro do melo;minas gerais;3302;0.631;271
dezesseis de novembro;rio grande do sul;2923;0.654;260
diadema;sao paulo;397738;0.757;17809
diamante;paraiba;6751;0.593;1166
diamante d'oeste;parana;5129;0.644;211
diamante do norte;parana;5668;0.723;267
diamante do sul;parana;3791;0.608;297
diamantina;minas gerais;46372;0.716;3170
diamantino;mato grosso;18989;0.718;921
dianopolis;tocantins;19524;0.701;1477
dias d'avila;bahia;57708;0.676;10266
dilermando de aguiar;rio grande do sul;3215;0.648;214
diogo de vasconcelos;minas gerais;4066;0.601;478
dionisio;minas gerais;10589;0.702;653
dionisio cerqueira;santa catarina;15399;0.706;473
diorama;goias;2243;0.729;188
dirce reis;sao paulo;1623;0.741;64
dirceu arcoverde;piaui;6996;0.561;1310
divina pastora;sergipe;4448;0.61;730
divinesia;minas gerais;3409;0.657;168
divino;minas gerais;20099;0.605;2405
divino das laranjeiras;minas gerais;5092;0.661;632
divino de sao lourenco;espirito santo;5011;0.632;335
divinolandia;sao paulo;11343;0.734;507
divinolandia de minas;minas gerais;7023;0.623;1130
divinopolis;minas gerais;216099;0.764;2661
divinopolis de goias;goias;5570;0.653;940
divinopolis do tocantins;tocantins;6623;0.683;703
divisa alegre;minas gerais;6235;0.608;962
divisa nova;minas gerais;5828;0.67;213
divisopolis;minas gerais;8463;0.609;1660
dobrada;sao paulo;8214;0.718;415
dois corregos;sao paulo;26040;0.725;1012
dois irmaos;rio grande do sul;26421;0.743;243
dois irmaos das missoes;rio grande do sul;2444;0.67;153
dois irmaos do buriti;mato grosso do sul;9643;0.639;1225
dois irmaos do tocantins;tocantins;7254;0.583;1216
dois lajeados;rio grande do sul;3484;0.757;22
dois riachos;alagoas;11200;0.532;1898
dois vizinhos;parana;35707;0.767;687
dolcinopolis;sao paulo;2272;0.742;74
dom aquino;mato grosso;8498;0.69;729
dom basilio;bahia;11620;0.591;1687
dom bosco;minas gerais;3839;0.673;338
dom cavati;minas gerais;5811;0.688;301
dom eliseu;para;39088;0.615;4271
dom expedito lopes;piaui;6793;0.601;1030
dom feliciano;rio grande do sul;15300;0.587;896
dom inocencio;piaui;10795;0.549;2174
dom joaquim;minas gerais;4640;0.622;517
dom macedo costa;bahia;3951;0.632;701
dom pedrito;rio grande do sul;38767;0.708;2167
dom pedro;maranhao;22086;0.622;3915
dom pedro de alcantara;rio grande do sul;2851;0.691;63
dom silverio;minas gerais;5475;0.709;278
dom vicoso;minas gerais;3117;0.687;134
domingos martins;espirito santo;32455;0.669;1007
domingos mourao;piaui;4447;0.55;803
dona emma;santa catarina;3583;0.742;39
dona eusebia;minas gerais;5808;0.701;284
dona francisca;rio grande do sul;3593;0.697;271
dona ines;paraiba;11142;0.545;1770
dores de campos;minas gerais;9821;0.686;231
dores de guanhaes;minas gerais;5751;0.636;347
dores do indaia;minas gerais;14366;0.719;535
dores do rio preto;espirito santo;6293;0.654;403
dores do turvo;minas gerais;4668;0.629;512
doresopolis;minas gerais;1578;0.692;111
dormentes;pernambuco;16462;0.589;2228
douradina;parana;6853;0.724;202
douradina;mato grosso do sul;5075;0.699;305
dourado;sao paulo;9131;0.738;470
douradoquara;minas gerais;1924;0.706;144
dourados;mato grosso do sul;189762;0.747;7554
doutor camargo;parana;5753;0.746;143
doutor mauricio cardoso;rio grande do sul;5424;0.706;109
doutor pedrinho;santa catarina;3432;0.716;5
doutor ricardo;rio grande do sul;2101;0.724;26
doutor severiano;rio grande do norte;6616;0.621;1111
doutor ulysses;parana;6145;0.546;826
doverlandia;goias;8570;0.668;724
dracena;sao paulo;44309;0.776;767
duartina;sao paulo;12796;0.748;476
duas barras;rio de janeiro;10891;0.659;573
duas estradas;paraiba;3855;0.603;736
duere;tocantins;4618;0.679;425
dumont;sao paulo;8346;0.744;360
duque bacelar;maranhao;10827;0.533;2031
duque de caxias;rio de janeiro;872762;0.711;49083
durande;minas gerais;7146;0.645;933
echapora;sao paulo;6239;0.745;496
ecoporanga;espirito santo;23891;0.662;2113
edealina;goias;3821;0.702;236
edeia;goias;10604;0.739;937
eirunepe;amazonas;30901;0.563;5383
eldorado;mato grosso do sul;12421;0.691;1227
eldorado;sao paulo;14514;0.684;770
eldorado do sul;rio grande do sul;33668;0.717;1815
eldorado dos carajas;para;29251;0.56;3724
elesbao veloso;piaui;14490;0.58;2021
elias fausto;sao paulo;15312;0.695;1031
eliseu martins;piaui;4923;0.595;759
elisiario;sao paulo;3317;0.747;157
elisio medrado;bahia;8183;0.623;1098
eloi mendes;minas gerais;25532;0.685;842
emas;paraiba;3374;0.595;587
embauba;sao paulo;2442;0.73;63
embu;sao paulo;248722;0.735;14070
embu-guacu;sao paulo;62137;0.749;4930
emilianopolis;sao paulo;3184;0.727;150
encantado;rio grande do sul;20530;0.767;222
encanto;rio grande do norte;5365;0.629;824
encruzilhada;bahia;20720;0.544;3557
encruzilhada do sul;rio grande do sul;25154;0.657;1352
eneas marques;parana;6066;0.752;297
engenheiro beltrao;parana;14280;0.73;657
engenheiro caldas;minas gerais;10908;0.644;826
engenheiro coelho;sao paulo;14300;0.732;662
engenheiro navarro;minas gerais;7315;0.655;1460
engenheiro paulo de frontin;rio de janeiro;13214;0.722;1034
engenho velho;rio grande do sul;1467;0.717;110
entre folhas;minas gerais;5065;0.634;635
entre rios;santa catarina;3104;0.615;4369
entre rios;bahia;40524;0.657;479
entre rios de minas;minas gerais;14548;0.672;653
entre rios do oeste;parana;4113;0.761;28
entre rios do sul;rio grande do sul;3087;0.703;179
entre-ijuis;rio grande do sul;9263;0.68;228
envira;amazonas;17614;0.509;2929
epitaciolandia;acre;14224;0.653;1670
equador;rio grande do norte;6084;0.623;1166
erebango;rio grande do sul;2936;0.712;154
erechim;rio grande do sul;97916;0.776;1129
erere;ceara;7332;0.61;882
erico cardoso;bahia;10717;0.584;1341
ermo;santa catarina;1857;0.726;88
ernestina;rio grande do sul;3094;0.716;82
erval grande;rio grande do sul;5367;0.681;193
erval seco;rio grande do sul;8196;0.685;466
erval velho;santa catarina;4195;0.723;32
ervalia;minas gerais;18855;0.625;1253
escada;pernambuco;62604;0.632;12130
esmeralda;rio grande do sul;3383;0.68;117
esmeraldas;minas gerais;59408;0.671;5388
espera feliz;minas gerais;21612;0.663;2132
esperanca;paraiba;30855;0.623;5380
esperanca do sul;rio grande do sul;3468;0.661;89
esperanca nova;parana;1836;0.689;68
esperantina;piaui;37520;0.57;1217
esperantina;tocantins;8445;0.605;6929
esperantinopolis;maranhao;18815;0.586;3506
espigao alto do iguacu;parana;5200;0.636;570
espigao d'oeste;rondonia;28892;0.672;1431
espinosa;minas gerais;32461;0.627;4398
espirito santo;rio grande do norte;10373;0.558;1579
espirito santo do dourado;minas gerais;4471;0.685;391
espirito santo do pinhal;sao paulo;42260;0.787;838
espirito santo do turvo;sao paulo;4428;0.696;118
esplanada;bahia;33115;0.589;3680
espumoso;rio grande do sul;15435;0.765;609
estacao;rio grande do sul;6253;0.753;165
estancia;sergipe;63582;0.647;8567
estancia velha;rio grande do sul;43906;0.757;776
esteio;rio grande do sul;81170;0.754;2618
estiva;minas gerais;11426;0.691;466
estiva gerbi;sao paulo;9657;0.74;347
estreito;maranhao;27756;0.659;3778
estrela;rio grande do sul;30603;0.767;489
estrela d'oeste;sao paulo;9042;0.76;192
estrela dalva;minas gerais;2536;0.71;183
estrela de alagoas;alagoas;17251;0.534;2577
estrela do indaia;minas gerais;3787;0.676;139
estrela do norte;goias;3223;0.74;77
estrela do norte;sao paulo;2474;0.707;259
estrela do sul;minas gerais;7439;0.696;458
estrela velha;rio grande do sul;3777;0.679;106
euclides da cunha;bahia;59193;0.567;10519
euclides da cunha paulista;sao paulo;10168;0.704;960
eugenio de castro;rio grande do sul;3083;0.712;139
eugenopolis;minas gerais;10769;0.675;882
eunapolis;bahia;99553;0.677;8980
eusebio;ceara;41307;0.701;5416
ewbank da camara;minas gerais;3676;0.676;437
extrema;minas gerais;27155;0.732;1285
extremoz;rio grande do norte;22751;0.66;4195
exu;pernambuco;31086;0.576;6683
fagundes;paraiba;12183;0.56;2189
fagundes varela;rio grande do sul;2607;0.763;7
faina;goias;7020;0.65;692
fama;minas gerais;2259;0.717;80
faria lemos;minas gerais;3734;0.687;370
farias brito;ceara;19605;0.633;2903
faro;para;19585;0.563;1615
farol;parana;3354;0.715;253
farroupilha;rio grande do sul;63375;0.777;1593
fartura;sao paulo;14969;0.732;572
fartura do piaui;piaui;5402;0.548;1199
fatima;tocantins;4123;0.697;329
fatima;bahia;19703;0.559;3485
fatima do sul;mato grosso do sul;19332;0.714;1154
faxinal;parana;16032;0.687;1071
faxinal do soturno;rio grande do sul;6407;0.72;312
faxinal dos guedes;santa catarina;10585;0.758;260
faxinalzinho;rio grande do sul;2607;0.666;174
fazenda nova;goias;6399;0.685;719
fazenda rio grande;parana;80868;0.72;2516
fazenda vilanova;rio grande do sul;3248;0.698;102
feijo;acre;32261;0.539;5191
feira da mata;bahia;6562;0.588;880
feira de santana;bahia;591707;0.712;31171
feira grande;alagoas;21824;0.533;4293
feira nova;sergipe;5875;0.6;4956
feira nova;pernambuco;20052;0.584;1229
feira nova do maranhao;maranhao;7899;0.532;1299
felicio dos santos;minas gerais;5865;0.606;569
felipe guerra;rio grande do norte;5875;0.636;1004
felisburgo;minas gerais;7024;0.583;1283
felixlandia;minas gerais;14287;0.648;982
feliz;rio grande do sul;12198;0.75;100
feliz deserto;alagoas;4568;0.565;662
feliz natal;mato grosso;11170;0.692;717
fenix;parana;5017;0.716;318
fernandes pinheiro;parana;5696;0.645;750
fernandes tourinho;minas gerais;2713;0.646;229
fernando de noronha;pernambuco;3108;0.788;5
fernando falcao;maranhao;8765;0.443;1899
fernando pedroza;rio grande do norte;2994;0.597;556
fernando prestes;sao paulo;5312;0.758;133
fernandopolis;sao paulo;63539;0.797;2007
fernao;sao paulo;1521;0.703;75
ferraz de vasconcelos;sao paulo;179231;0.738;8130
ferreira gomes;amapa;5475;0.656;823
ferreiros;pernambuco;11456;0.622;1474
ferros;minas gerais;11531;0.603;828
fervedouro;minas gerais;10754;0.58;996
figueira;parana;8485;0.677;642
figueirao;mato grosso do sul;3443;0.66;143
figueiropolis;tocantins;4883;0.689;503
figueiropolis d'oeste;mato grosso;3656;0.679;94
filadelfia;tocantins;7978;0.621;1035
filadelfia;bahia;16215;0.565;3906
firmino alves;bahia;5864;0.578;1085
firminopolis;goias;10732;0.732;704
flexeiras;alagoas;12290;0.527;2122
flor da serra do sul;parana;4742;0.682;281
flor do sertao;santa catarina;1700;0.708;35
flora rica;sao paulo;2029;0.727;73
florai;parana;5158;0.745;135
florania;rio grande do norte;8487;0.642;1050
floreal;sao paulo;2884;0.747;154
flores;pernambuco;23034;0.556;4219
flores da cunha;rio grande do sul;26695;0.754;216
flores de goias;goias;11483;0.597;1466
flores do piaui;piaui;4615;0.547;1043
floresta;pernambuco;28100;0.626;5082
floresta;parana;5417;0.736;136
floresta azul;bahia;10364;0.557;1636
floresta do araguaia;para;15629;0.583;2413
floresta do piaui;piaui;2643;0.538;496
florestal;minas gerais;6199;0.724;256
florestopolis;parana;11795;0.701;1134
floriano;piaui;57968;0.7;4123
floriano peixoto;rio grande do sul;2155;0.663;36
florianopolis;santa catarina;408161;0.847;5671
florida;parana;2535;0.732;124
florida paulista;sao paulo;13761;0.715;682
florinia;sao paulo;2856;0.713;229
fonte boa;amazonas;18803;0.53;3526
fontoura xavier;rio grande do sul;11335;0.661;931
formiga;minas gerais;67178;0.755;1418
formigueiro;rio grande do sul;7214;0.682;438
formosa;goias;96284;0.744;7306
formosa da serra negra;maranhao;17792;0.556;2867
formosa do oeste;parana;7453;0.723;148
formosa do rio preto;bahia;22171;0.618;3654
formosa do sul;santa catarina;2683;0.715;105
formoso;minas gerais;6857;0.64;1350
formoso;goias;5327;0.715;601
formoso do araguaia;tocantins;18719;0.67;1758
forquetinha;rio grande do sul;2614;0.683;17
forquilha;ceara;21599;0.644;3159
forquilhinha;santa catarina;21928;0.753;392
fortaleza;ceara;2505552;0.754;200136
fortaleza de minas;minas gerais;3986;0.67;95
fortaleza do tabocao;tocantins;2149;0.659;520
fortaleza dos nogueiras;maranhao;11972;0.616;2202
fortaleza dos valos;rio grande do sul;4635;0.756;106
fortim;ceara;15095;0.624;2541
fortuna;maranhao;14922;0.58;3081
fortuna de minas;minas gerais;2541;0.696;160
foz do iguacu;parana;325137;0.751;9180
foz do jordao;parana;5881;0.645;451
fraiburgo;santa catarina;36469;0.731;1072
franca;sao paulo;330938;0.78;6771
francinopolis;piaui;5458;0.564;839
francisco alves;parana;6389;0.669;451
francisco ayres;piaui;5147;0.577;738
francisco badaro;minas gerais;10604;0.622;923
francisco beltrao;parana;76311;0.774;1522
francisco dantas;rio grande do norte;3008;0.606;451
francisco dumont;minas gerais;4987;0.625;728
francisco macedo;piaui;2315;0.553;507
francisco morato;sao paulo;157294;0.703;12743
francisco sa;minas gerais;25994;0.654;2760
francisco santos;piaui;8315;0.608;1221
franciscopolis;minas gerais;5662;0.603;777
franco da rocha;sao paulo;131366;0.731;7484
frecheirinha;ceara;13537;0.604;2205
frederico westphalen;rio grande do sul;28428;0.76;950
frei gaspar;minas gerais;6649;0.59;859
frei inocencio;minas gerais;9347;0.648;1322
frei lagonegro;minas gerais;3493;0.543;598
frei martinho;paraiba;3025;0.641;450
frei miguelinho;pernambuco;14855;0.576;3222
frei paulo;sergipe;13060;0.589;2409
frei rogerio;santa catarina;2673;0.682;109
fronteira;minas gerais;15706;0.684;891
fronteira dos vales;minas gerais;4980;0.592;815
fronteiras;piaui;11502;0.619;2037
fruta de leite;minas gerais;6426;0.544;633
frutal;minas gerais;54819;0.73;1549
frutuoso gomes;rio grande do norte;4468;0.597;756
fundao;espirito santo;16431;0.718;1152
funilandia;minas gerais;3852;0.655;421
gabriel monteiro;sao paulo;2698;0.763;58
gado bravo;paraiba;8461;0.513;1872
galia;sao paulo;6635;0.709;156
galileia;minas gerais;7563;0.654;821
galinhos;rio grande do norte;2264;0.564;294
galvao;santa catarina;3444;0.708;187
gameleira;pernambuco;27823;0.602;4664
gameleira de goias;goias;3582;0.659;173
gameleiras;minas gerais;5392;0.65;745
gandu;bahia;31819;0.632;5036
garanhuns;pernambuco;131313;0.664;17796
gararu;sergipe;11999;0.564;2597
garca;sao paulo;43380;0.769;2033
garibaldi;rio grande do sul;30518;0.786;192
garopaba;santa catarina;16710;0.753;725
garrafao do norte;para;25538;0.526;4943
garruchos;rio grande do sul;3509;0.671;272
garuva;santa catarina;14281;0.725;611
gaspar;santa catarina;55489;0.765;578
gastao vidigal;sao paulo;4118;0.723;101
gaucha do norte;mato grosso;6195;0.615;427
gaurama;rio grande do sul;6232;0.738;111
gaviao;bahia;4507;0.599;1164
gaviao peixoto;sao paulo;4244;0.719;171
geminiano;piaui;5465;0.561;1129
general camara;rio grande do sul;9101;0.686;448
general carneiro;mato grosso;5028;0.652;1165
general carneiro;parana;15275;0.67;470
general maynard;sergipe;2907;0.645;413
general salgado;sao paulo;10934;0.747;285
general sampaio;ceara;6654;0.568;1446
gentil;rio grande do sul;1574;0.733;64
gentio do ouro;bahia;11988;0.559;1765
getulina;sao paulo;10960;0.717;386
getulio vargas;rio grande do sul;16345;0.746;172
gilbues;piaui;10681;0.548;1740
girau do ponciano;alagoas;36904;0.536;5801
girua;rio grande do sul;17139;0.721;1146
glaucilandia;minas gerais;3072;0.679;399
glicerio;sao paulo;4547;0.735;217
gloria;bahia;14176;0.593;2453
gloria d'oeste;mato grosso;3185;0.71;244
gloria de dourados;mato grosso do sul;9894;0.721;307
gloria do goita;pernambuco;28289;0.604;4594
glorinha;rio grande do sul;7531;0.714;225
godofredo viana;maranhao;11207;0.604;1775
godoy moreira;parana;3616;0.675;224
goiabeira;minas gerais;3239;0.647;330
goiana;pernambuco;74424;0.651;9150
goiana;minas gerais;3846;0.716;195
goianapolis;goias;11663;0.703;979
goiandira;goias;5081;0.76;211
goianesia;goias;56839;0.727;2255
goianesia do para;para;29164;0.56;3288
goiania;goias;1281975;0.799;26081
goianinha;rio grande do norte;21321;0.638;2638
goianira;goias;26336;0.694;2284
goianorte;tocantins;5426;0.621;866
goias;goias;24605;0.709;1424
goiatins;tocantins;12068;0.576;1771
goiatuba;goias;32304;0.725;1145
goioere;parana;29704;0.731;1348
goioxim;parana;8240;0.641;759
goncalves;minas gerais;4450;0.683;85
goncalves dias;maranhao;16911;0.568;3375
gongogi;bahia;6170;0.576;1579
gonzaga;minas gerais;5786;0.606;598
